fitur,importance
corridor_type_Unknown,0.4400864839553833
is_weekend,0.16578912734985352
day_of_week,0.08344973623752594
part_of_day_Sore,0.055610865354537964
part_of_day_Dini hari,0.04593813791871071
part_of_day_Siang,0.0441688597202301
is_peak,0.038006074726581573
hour,0.03659651428461075
day_name_Minggu,0.019258549436926842
part_of_day_Pagi,0.016995558515191078
corridorID,0.015892596915364265
day_name_Sabtu,0.015424810349941254
part_of_day_Malam,0.009161855094134808
week_of_month,0.002988403430208564
corridor_type_BRT Koridor,0.0022962819784879684
day_name_Jumat,0.0022565871477127075
day_name_Kamis,0.0017373602604493499
day_name_Selasa,0.0009222312364727259
day_name_Rabu,0.0009167592506855726
corridor_type_Mikrotrans (JAK),0.0008591040968894958
day_name_Senin,0.0008482939447276294
corridor_type_Non-BRT / Pengumpan,0.000795695697888732
